Sentence,Sentiment,,,,,
I got the impression that he was extremely alarmed about his own position and was determined to eliminate any risk for himself by a massive change of Government . ,fear,,,,,
"His voice was tetchy , but not alarmed . ",fear,,,,,
But experts at the Coney Hill Psychiatric Hospital are alarmed . ,fear,,,,,
"The repeal movement 's national leadership , alarmed about Hopkins ' activities , wrote warning her against any collusion with the enemy . "" ",fear,,,,,
"The alarmed Hungarians initially kept this threat to themselves , but have since raised the issue in private both within the Warsaw Pact and with certain Western governments . ",fear,,,,,
"Realising that something had gone wrong , the alarmed miner was making his way out of the pit . ",fear,,,,,
"After one alarmed glance at her apoplectic face , Mr Loveitt said smoothly : ` I think we should get back to the facts . ",fear,,,,,
He turned to see four alarmed faces and the atmosphere was thick with unanswered questions as he walked out . ,fear,,,,,
The assistant looked alarmed . ,fear,,,,,
"Some ill children feel so angry , depressed , or anxious about their condition that they refuse to eat . ",fear,,,,,
If she 's so anxious about my welfare and morals it 's a wonder she has n't come stamping up here to check out the situation for herself . ,fear,,,,,
The last time she had walked down this lane she had been too anxious about Susan to notice very much . ,fear,,,,,
I wanted to be a violinist -- that was my real ambition -- but I was too anxious to really get to grips with the instrument . ,fear,,,,,
"Cranston , too , was thinking about events in the Tower but was too anxious to concentrate on the problems they posed . ",fear,,,,,
Meanwhile the flood of letters of a very different sort from anxious Hong Kong citizens to this and every other newspaper office continues . ,fear,,,,,
"You then left that meeting , rather hurriedly , before it ended , in a very anxious state . ",fear,,,,,
"She subsequently attended the genetic counselling clinic , and was very anxious about the situation . ",fear,,,,,
My friend is very anxious about your welfare . ,fear,,,,,
Gary 's expression became even more anxious . ,fear,,,,,
The Oracle clearly becomes very anxious about this and demands to know their business . ,fear,,,,,
"He had taken an interest in the growing baby , and had become anxious about Jane 's health and safety , the way expectant fathers were supposed to . ",fear,,,,,
"Far from experiencing simple gratitude , such children will most likely feel terribly torn and anxious when faced with their foster parents ' offer of affection . ",fear,,,,,
She was still feeling a little anxious when she thought of all she would have to do before she could get to bed that night . ,fear,,,,,
It seems that anxious people condition most easily and it is thought that irrational fears are established in this way . ,fear,,,,,
"They seemed anxious and hesitant about leaving , as if uncertain of which direction to take . ",fear,,,,,
He turned and saw the waiter bearing down on him with an anxious look on his face . ,fear,,,,,
Jim could nonetheless tell by his anxious face that something was wrong . ,fear,,,,,
Stephen Spielberg says anxious parents should view it first . ,fear,,,,,
A helpline has been set up for anxious parents . ,fear,,,,,
"One of the four ads is for insurance , another for Sherwood 's and the other two draw the attention of anxious patients to a particular service offered by local solicitors . ",fear,,,,,
"Anxious people become acutely sensitized to their bodies , noticing minor bodily changes upon which they focus . ",fear,,,,,
"Unfortunately , anxious and stressed people become acutely sensitive to such fluctuations making them worse by their own concern . ",fear,,,,,
"Rose was excessively clinging in her behaviour and anxious when Clive was either late , as he often was , or away on an extended business trip . ",fear,,,,,
We were confused and anxious when we were not understood . ,fear,,,,,
They were a little anxious about the flight over the Timor Sea as their compass had been 10 awry on the outward journey though it was correct at Melbourne .,fear,,,,,
Many beef farmers in my constituency of Monmouth are deeply anxious about the impact of the MacSharry proposals . ,fear,,,,,
"She 's in a lot of pain , and is extremely anxious about her condition . "" ",fear,,,,,
