Sentence,Sentiment,,,,,
There was anger in Jacob 's voice and stance as he led her towards Sylvie 's bedroom . ,anger,,,,,
The anger in her voice took him aback . ,anger,,,,,
"Driving back , she managed to keep her anger in control . ",anger,,,,,
One insider said last week : ` The sheer anger of people has taken everybody by surprise . ,anger,,,,,
"He was court martialled but to the anger of the unpopular Governor , was acquitted . ",anger,,,,,
He also incurred the anger of the apothecaries who were afraid of being put out of business if all their complex mixtures were swept away . ,anger,,,,,
"This time , with deepening anger on the streets over price liberalisation , the hardliners were not to forgo their chance . ",anger,,,,,
"He said nothing , and from the anger on his face she saw that he did n't think he owed her a reply . ",anger,,,,,
"` No , better to limit the damage , control his anger , make nothing of it , pretend he did n't mind . ",anger,,,,,
"As he released his anger , he felt his love for his ex-wife , and wept over their divorce . ",anger,,,,,
"His granddaughter 's anger , so like his own , took some of the sting out of Ballater 's wrath . ",anger,,,,,
His mounting anger was making his speech more and more incomprehensible through his stroke-stiffened mouth . ,anger,,,,,
He said : ` Community anger is running high . ,anger,,,,,
His face darkened with anger . ,anger,,,,,
The guard stiffened in anger . ,anger,,,,,
Mr Jones exploded in anger . ,anger,,,,,
"There were rumours of anger among the grain farmers , who were being given IOUs instead of cash for their crops . ",anger,,,,,
She showed her anger in public by virtually ignoring Charles . ,anger,,,,,
"He looked away , a bitter anger in his eyes . ",anger,,,,,
"A terrible , furious , impotent anger filled him , making him want to strike out , to shout and scream . ",anger,,,,,
"Clive Greenacre was not only put out when his agoraphobic wife started to express her anger about his callous behaviour , but also amazed by the sexual demands she then started to make on him . ",anger,,,,,
"` Robots , "" he said , ` gave me a means of venting my anger , "" a remark whose logic baffled me until I read another ` Logic alone can not explain this . "" ",anger,,,,,
There is always a moment in time when we can make a decision whether or not to vent our anger . ,anger,,,,,
Bernice was so angry she could hardly speak . ,anger,,,,,
"Even so , becoming angry when travel arrangements go wrong can hardly help . ",anger,,,,,
So you can see why mothers get angry when they discover that even everyday foods such as apples can cause a build-up of unwanted chemicals in their children 's bodies . ,anger,,,,,
"Always he gets angry when she takes customers home . "" ",anger,,,,,
"People were very angry when Admiral Byng failed to attack the French at Minorca , and the decision to execute him for cowardice was exactly what the public wanted . ",anger,,,,,
Piggy had no sense of humour and often got very angry when other boys found things he did amusing . ,anger,,,,,
Have you ever felt so angry about men that you 've been moved to write a song about it ? ,anger,,,,,
"He was angry about class , hypocrisy and the establishment . ",anger,,,,,
"Believing that he had no ` right "" to be angry over this mishap , Matthew retreated to his bedroom , took out a penknife and cut a painful slit in his own hand . ",anger,,,,,
"I could tell she was angry and I was ready to cry , but Frankie pulled me roughly back off the step and we turned to leave . ",anger,,,,,
"` We do n't go to Lightwater Valley , "" said an equally affronted bus driver . ",anger,,,,,
"Ah was affronted fur her , imagine gettin' stuck ` n "" huvin' to get rolled on to a stretcher , the perr o' them , and kerted oot covered up wi' his poplin shortie . ",anger,,,,,
If you have symptoms that you think may be caused by food intolerance you should not feel affronted if the doctor 's initial questions seem rather personal and irrelevant to the aches and pains being suffered . ,anger,,,,,
