Sentence,Sentiment,,,,,
"If you do feel revolted when you watch the patient eat , you should not feel guilty about it , but neither should you let yourself become irritable with the patient over it . ",disgust,,,,,
"She was simultaneously pleased , revolted and delighted . ",disgust,,,,,
"A Swedish couple and a German guy sitting near me were on their feet , that sickened expression on their faces too . ",disgust,,,,,
THE Government 's cash-before-care NHS shake-up has come under fire -- from sickened hospital managers . ,disgust,,,,,
"Floy and Snodgrass , unable to look away , were sickened and awed . ",disgust,,,,,
"She felt sickened and saddened beyond words and , for the first time , she wished that this thing had not happened to her . ",disgust,,,,,
"THE sickened owner of a horse which was attacked in its stable at Newton Bewley , near Hartlepool , is appealing for help in tracking down the thugs responsible . ",disgust,,,,,
"The Leader of the House , G V Wright , expressed revulsion at the shocking act of IRA terrorism . ",disgust,,,,,
Mixed with his revulsion was also a tiny feeling of excitement . ,disgust,,,,,
She closed her eyes to hide her revulsion as he pressed his open mouth against hers and began fumbling with the buttons of her bush shirt . ,disgust,,,,,
"As she turned to walk on she shivered , affected by a chilliness that seemed to be an expression of her revulsion . ",disgust,,,,,
"` God , what an accursed night ! "" mumbled Mr Beckenham , and , sipping his liquor , he looked over the makeshift meal with revulsion . ",disgust,,,,,
Leonora shook her head in revulsion . ,disgust,,,,,
And when her words caused a peculiar revulsion within him . ,disgust,,,,,
"` T was to stop you becoming completely distraught , but I was afraid to look at you , afraid to come to you that night in case I saw fear or revulsion in your eyes . "" ",disgust,,,,,
We therefore have a clashing interest of views over whether to feel sympathy or revulsion about Blanche . ,disgust,,,,,
"He began to kiss her , and Dinah knew slight revulsion ; if only he would leave her alone for once ! ",disgust,,,,,
"Homosexuality aroused revulsion in about a quarter of the respondents , another quarter seeing it as sick , odd or ridiculous . ",disgust,,,,,
There was world-wide revulsion when the IRA exploded a bomb during a Poppy Day service in Enniskillen in the late 80s .,disgust,,,,,
Sam was thoroughly disgruntled because the boy from the bistro had failed to appear . ,disgust,,,,,
"Several times , Gedge had persuaded him to stay with the band when he had become disgruntled and ` warnings "" had not been given because he ostensibly wanted to leave anyway . ",disgust,,,,,
"Shortly after he spoke , the first of what could become a flood of disgruntled clergy announced he was leaving the Church of England . ",disgust,,,,,
"You arrest somebody , maybe a drunk , the next day he 's feeling a little disgruntled and almost inevitably he 'll make a complaint ",disgust,,,,,
He felt too let-down and disgruntled . ,disgust,,,,,
"In any event , a dissatisfied enquirer can be a disgruntled member ! ",disgust,,,,,
"However , the existence of a potential rival , no matter how eccentric , meant that there was an alternative fascist allegiance open to disgruntled members of the BUF . ",disgust,,,,,
"The New Zealand-born but peripatetic investor was speaking at GPG 's annual meeting in London , where he faced tough questioning from a disgruntled shareholder about accounting practices and future strategy ",disgust,,,,,
The articles are on public record and the purchaser runs the risk of a disgruntled shareholder seeking to have the sale set aside if its consent was not obtained . ,disgust,,,,,
Troubled Premier John Major now faces huge protests from disgruntled workers if the cash goes towards creating jobs overseas . ,disgust,,,,,
It was done on the receivers orders to stop disgruntled workers taking demonstration vehicles from the site . ,disgust,,,,,
I understand the mood but if some of them are disgruntled they are entitled to call an EGM . ,disgust,,,,,
A comic romp starring Billy Crystal in which a group of disgruntled New Yorkers play out their frontiersmen fantasies on a two week cattle-drive in New Mexico . ,disgust,,,,,
Senator Sherman had shot marginally less well than his son and was openly disgruntled about this . ,disgust,,,,,
"A reader , disgruntled in large proportion , sat down to work out how much of his salary he would have to hand over to the Inland Revenue heavy mob for the past year . ",disgust,,,,,
A disgruntled father whose two sons have been on several skiing fortnights feels school trips are run primarily for the teachers ' convenience . ,disgust,,,,,
"County had lost six of their last eight League games at the Baseball Ground , which had prompted disgruntled supporters to call for the resignation of manager Arthur Cox . ",disgust,,,,,
"John Devereux and Kevin Ellis toured with the Lions , but there were a number of unlucky and disgruntled Welshmen left behind . ",disgust,,,,,
"A disgruntled postman rang up a radio chat show to complain , and found himself spearheading an anti-Florio movement that culminated in 50,000 people marching on the state capitol .",disgust,,,,,
This disgruntled minority has a disturbing impact on the performance of other pupils . ,disgust,,,,,
"` You are all bloody mad , "" screamed the disgruntled player , in a high piping voice . ",disgust,,,,,
"Zen preferred to think that some alert recruiting officer somewhere , realizing the appalling threat a disgruntled Gilberto would pose outside the law , had bent the rules to let him in . ",disgust,,,,,
"Yet a disgruntled secretary , or one left unemployed by dismissal or the death or recall of his master , might easily be tempted to profit by the information he had acquired in his work . ",disgust,,,,,
"A statement was issued from Ibrox yesterday detailing the unsatisfactory nature of the dealings with Bernard Tapie 's club , while expressing regret that there was nothing more Rangers could do on behalf of their now disgruntled fans . ",disgust,,,,,
"Darren , looking small and extremely disgruntled , was slumped in the front left-hand seat . ",disgust,,,,,
Lord Beddington was somewhat disgruntled . ,disgust,,,,,
"The horse , having been abandoned in the traces for twenty-four hours , was utterly disgruntled . ",disgust,,,,,
"` Everybody in this town , including the stuffed seagull shop , seems to reckon they can sell books , "" said a disgruntled Mr Coward . ",disgust,,,,,
"But freer travel to the West , which is one of the benefits Bonn extracted , also increased disgruntlement with things at home . ",disgust,,,,,
The disgruntlement among its two million members is almost palpable . ,disgust,,,,,
Her disgruntlement arose from the now obvious fact that the prince was enamoured of Joan . ,disgust,,,,,
"Then there was the American sprinter Jesse Owens , who swept to victory in the Berlin Olympic Games of 1936 , much to the disgruntlement of Hitler .",disgust,,,,,
