Sentence,Sentiment,,,,,
This did the trick : the boys now have a more distant friendship and David is much happier . ,happy,,,,,
"When Anna left Inspector Aziz , she was much happier . ",happy,,,,,
"And though , as Lachlan had planned , they had expected the attack in the morning , they were quite happy when their lookouts reported the Macleans ' approach in the early evening . ",happy,,,,,
"Honestly , I 'm really happy for you ! ",happy,,,,,
Lesley was totally happy about it . ,happy,,,,,
"For once in his life , Leopold must have been truly happy : his hopes and prayers for his beloved son seemed at last to have come to fruition . ",happy,,,,,
"She became happier , more settled . ",happy,,,,,
"During the day her mother seemed happy at times , baking , trying out fresh recipes , or changing yet again the curtains , or crocheting new chair-backs . ",happy,,,,,
"They seemed happy about my victory in Germany and most of them expected me to win more races last year . "" ",happy,,,,,
Never before had Bodmin seen so many faces  and so many happy faces all at one time ! ,happy,,,,,
""" She looked fondly at Anne ` s bright eyes and happy face . ",happy,,,,,
"Shelley looked at the happy faces of her companions , and knew they wanted to be alone , however sweet they were being . ",happy,,,,,
"A small , happy man with a white beard , he always wore the traditional grocers ' apron . ",happy,,,,,
"Pleasure can be no more than a gourmet 's appreciation for delicacies , whereas a happy person can readily settle for a much simpler diet . ",happy,,,,,
"Normally such a happy , sunny person , she felt a vague disquiet , as though she was changing without her wanting to . ",happy,,,,,
Words bubbled in Jay 's mind with an absurdly happy smile . ,happy,,,,,
"But behind the strained , happy smiles there will lie the awful knowledge that Alex saw the killer -- and was too young to understand what was going on . ",happy,,,,,
But it was not a happy smile . ,happy,,,,,
"Henry Tyler would not have described her as a happy woman , but afterward he could not say that she had seemed at all unwell . ",happy,,,,,
She did not look like a happy woman . ,happy,,,,,
"All during the night , over and over again , she had found it absurd that she 'd ever considered herself a happy woman . ",happy,,,,,
"I went swimming , and I was so happy I cried into the sea for three-quarters of an hour . ",happy,,,,,
"I 'm always happy when I 'm wearing trousers and a jacket that covers my bum ! "" ",happy,,,,,
"However , in 1878 , deaf education in Greenock faced a crisis because there was no-one able to continue to teach the children , and one parent was not happy about his child being taught in sign language .",happy,,,,,
"Power tools coming from the hip , gunslinger style , or British Gas portraying the contented family enjoying the warm glow of its new central heating . ",happy,,,,,
"To my mind , it begins so well that it could easily be mistaken for a translation of an eighth-century hermit 's verse , composed in a beehive hut by a contented holy man of Old Ireland . ",happy,,,,,
"It is true that the wonderful advance of our people  has transformed the wilderness into a home where men and women can live comfortably , elegantly , happily , if they are of contented disposition ",happy,,,,,
"At that stage , Sunderland were good value for the lead and Mr Crosby must have been a contented man . ",happy,,,,,
"He was a contented man for he had a good wife , a prosperous farm in Upper Caversham some four miles from Reading market , had had a good season and a financially successful day . ",happy,,,,,
