Sentence,Sentiment,,,,,
"One woman , who already had a job and a busy life of her own , was surprised to find how sad she felt when her children left home in quick succession . ",sad,,,,,
He sounded quite sad about it . ,sad,,,,,
"` I made the camp , "" grumbled Henry , rather like a sad child . ",sad,,,,,
"While he went up to the bar to order , Ellie settled back in her seat , and , with a rather sad light in her eyes , watched him . ",sad,,,,,
"` I had the sense he was rather sad , "" the writer now remembers . ",sad,,,,,
"There must be another reason why you are so sad , "" he said , looking kindly at me . ",sad,,,,,
But Miss Van Cheele was terribly sad about Gabriel-Ernest . ,sad,,,,,
"They were very quiet and sad at first , because I would be leaving them , but I promised I would never forget them and would often return to visit them . ",sad,,,,,
"` Well , you 're very sad , Tess , and you have no reason to be . ",sad,,,,,
` But other people became very sad and worried . ,sad,,,,,
Taheb 's face became sad . ,sad,,,,,
"Sybil 's expression , which had become momentarily sad , softened into a tender smile that was wholly natural . ",sad,,,,,
I feel so sad with Marie gone . ,sad,,,,,
"But , not surprisingly , many parents continue to feel anxious , tense and sad about their children . ",sad,,,,,
"As she poured coffee for Jenny and Paul , she felt unbearably sad . ",sad,,,,,
"She did n't want to get sad now , not now after it had been so good . ",sad,,,,,
But why does Mr Ross always look sad ? ,sad,,,,,
He looked very sad . ,sad,,,,,
Almost every month it seems as though some sad parent on the local news is bemoaning the loss of their teenager who died in this way . ,sad,,,,,
They all seem terribly sad . ,sad,,,,,
She thought he seemed sadder and older and somehow lonely . ,sad,,,,,
"He smiled a little , without altering the sad expression . ",sad,,,,,
"He was a thin , brown man with a brass stud at the neck of his striped shirt and a sad expression as if he were on the point of tears . ",sad,,,,,
"And out of the dark woods came the black man , leading his horse on one arm , and on the other a tall grey hound with the saddest face I have ever seen on any creature . ",sad,,,,,
"His brown , nearly auburn hair clung to his scalp as if with misery , sad eyes stared out of a freckled face , his hands were clenched tight . ",sad,,,,,
"A black-haired woman with a long , sad face was inside . ",sad,,,,,
"When one day nobody could rouse him from his trailer , it was Lee Marvin who entered quietly and found a sombre , lonely , sad man . ",sad,,,,,
"He had a clear picture of a sad and lonely man , deeply concerned about his health and dwelling on a future which seemed to promise only a fairly rapid decline into senility . ",sad,,,,,
"Tolonen nodded , suddenly wistful , his lips formed into a sad smile . ",sad,,,,,
"A small sad smile pulling at her mouth , convinced that it would say thank you and goodbye , she took a deep breath , and began to read . ",sad,,,,,
"Country folklore has it that dobies were actually the sad little GHOSTS of unwanted or plain women , who would fumble around the house trying to be useful until their spirits had been exorcised . ",sad,,,,,
"My mother was only a sad woman in an old photograph , younger then than I was now . ",sad,,,,,
"A sad old woman rose from her chair , as from a dais , to take their coats and hang them on a row of hooks nailed against a wall . ",sad,,,,,
"We are always sad when a young international athlete finds himself in this situation . "" ",sad,,,,,
"The grand old man of the Scottish mountains , author and TV star Tom Weir , said he was sad about the plan . ",sad,,,,,
And Glenn Close 's stubborn and pain-ridden performance as Sunny makes you sad for her and hate her at the same time . ,sad,,,,,
` We are sad for Jason Livingston . ,sad,,,,,
They are sad for Johnny Bryan because he can never truly be a member of this particular family . ,sad,,,,,
She says we 're happy to be in England but we are sad for our relatives . ,sad,,,,,
I am surely not alone in feeling profoundly sad over the so-called reprieve of certain regiments in the British Army . ,sad,,,,,
Her tone was sad . ,sad,,,,,
"` Was it sad because its mummy was nasty to it ? "" he said . ",sad,,,,,
"` It is that hard , "" he said ominously , and I thought of John Maggovertski 's sadness for a pretty girl who had whored herself to pay for the white powder . ",sad,,,,,
"Despite the sadness of the occasion , many gave way to hysterical giggling as they gradually realized that every compartment contained mourners or corpses . ",sad,,,,,
"The happy melody of Morning has Broken followed , but the sadness of family and friends choked many of the words . ",sad,,,,,
They talk about the sadness of departure ; what about the guilt of arrival ? ,sad,,,,,
"It is worth , asking if all our sadness and anxiety is in fact for our child . ",sad,,,,,
Was his sadness tinged with guilt ? ,sad,,,,,
She felt guilty when she sensed Beth 's deep sadness . ,sad,,,,,
"It was , however , obvious that there was some deep sadness within him . ",sad,,,,,
When he wondered this he felt a deep sadness . ,sad,,,,,
