Sentence,Sentiment,,,,,
He looked down at her astonished face with darkly angled brows . ,surprise,,,,,
His eyes flared over her astonished face . ,surprise,,,,,
"Her astonished eyes were taking in his costume : gold-embroidered satin jacket , knee breeches and jabot of the eighteenth century . ",surprise,,,,,
He discovered to his astonishment that Frank now professed atheism . ,surprise,,,,,
It was a measure of Arnold 's astonishment that he used the dialect expression of concern . ,surprise,,,,,
She realised with astonishment that he was actually pleading . ,surprise,,,,,
"He stopped , becoming aware of the glare from his uncle and the frank astonishment from his agent . ",surprise,,,,,
The anger and astonishment in her face gave way to something very like pity . ,surprise,,,,,
"The boy bowed again , enjoying her astonishment in the same way he had enjoyed the applause of the T'ang earlier that day when he had played Tsu Tiao . ",surprise,,,,,
"I heard no more of the debate and to the astonishment of my fellow delegates I stormed out of the auditorium and locked myself away in the Ladies to howl out my rage , alone . ",surprise,,,,,
"It was there , that same until-then-pleasant morning , to the astonishment of all the workers in the Library , that Stour stumbled into the Great Chamber and laid his burden down . ",surprise,,,,,
I chuckled at the astonishment on her face . ,surprise,,,,,
"Suddenly , to the Collector 's astonishment , the Padre gripped him by the throat and shouted : "" A matter of opinion ! ",surprise,,,,,
"As he drove out of his allotted space , to his astonishment he saw Alexandra about to get into her white saloon . ",surprise,,,,,
Bob sat up on the bed and gazed at her in astonishment . ,surprise,,,,,
The driver watched in astonishment as the car whacked into the side of his vehicle . ,surprise,,,,,
"Her eyes were wide open , and upon her face was an expression of absolute astonishment . ",surprise,,,,,
"Sonia and Helen flung themselves into my arms , to Joe 's great astonishment . ",surprise,,,,,
"But when I looked up , I saw , to my great astonishment , a large island in the sky , between me and the sun . ",surprise,,,,,
"To her own mild astonishment she murmured , ` I 'll try . "" ",surprise,,,,,
Rebecque could not hide his astonishment . ,surprise,,,,,
As he looked around he could not hide his astonishment . ,surprise,,,,,
"Chambers shot him a look of astonishment , then turned to include Nora ",surprise,,,,,
Elaine Morris stared out of the window in astonishment . ,surprise,,,,,
He left so quickly that she stared in astonishment at the door he had closed behind him . ,surprise,,,,,
"` A great number , "" said the astounded Mrs Phelps . ",surprise,,,,,
"` You keep them , "" she cried , throwing the jewels into the plump lap of the astounded Soapy Finnegan . ",surprise,,,,,
"Before the astounded car owner could react , the Prophet had pulled the door shut , reached over the back of the driver 's seat and jammed the muzzle of the gun into the man 's neck . ",surprise,,,,,
" What in the world  ?  began Rose , feeling quite bewildered as he let out an amused laugh . ",surprise,,,,,
"Lucy felt slightly bewildered , but hid the fact as she turned to Stella . ",surprise,,,,,
"She frowned , feeling slightly bewildered . ",surprise,,,,,
"A delighted , if somewhat bewildered smile tugging at her own mouth , her eyes alight with laughter , she watched him melt into the crowds . ",surprise,,,,,
"Schellenberg went out , closing the door , feeling totally bewildered . ",surprise,,,,,
Joey seemed bewildered as he put one large hand on his mother 's shoulder . ,surprise,,,,,
Andrus seemed totally bewildered . ,surprise,,,,,
"At first , she was utterly bewildered when he burst out laughing . ",surprise,,,,,
Kate 's voice was husky and bewildered . ,surprise,,,,,
BANGOR 'S Alex Lightbody must be the most bewildered bowler in the NIBA this season . ,surprise,,,,,
By now Nutmeg was so bewildered that he did n't know what to do . ,surprise,,,,,
Natasha laughed at Maggie 's bewildered expression . ,surprise,,,,,
